chain,block_date,create_trace_count
ethereum,2018-04-23,21582
ethereum,2018-04-24,14152
ethereum,2018-04-25,7908
ethereum,2018-04-26,4226
ethereum,2018-04-27,8740
ethereum,2018-04-28,1437
ethereum,2018-04-29,3211
ethereum,2018-04-30,4741
ethereum,2018-05-01,6480
ethereum,2018-05-02,4768
ethereum,2018-05-03,4434
ethereum,2018-05-04,1731
ethereum,2018-05-05,2944
ethereum,2018-05-06,13704
ethereum,2018-05-07,16737
ethereum,2018-05-08,10221
ethereum,2018-05-09,3635
ethereum,2018-05-10,1951
ethereum,2018-05-11,7880
ethereum,2018-05-12,3023
ethereum,2018-05-13,3306
ethereum,2018-05-14,3908
ethereum,2018-05-15,1954
ethereum,2018-05-16,3617
ethereum,2018-05-17,1700
ethereum,2018-05-18,4187
ethereum,2018-05-19,990
ethereum,2018-05-20,2470
ethereum,2018-05-21,2591
ethereum,2018-05-22,1310
ethereum,2018-05-23,1287
ethereum,2018-05-24,1008
ethereum,2018-05-25,1652
ethereum,2018-05-26,1299
ethereum,2018-05-27,1158
ethereum,2018-05-28,595
ethereum,2018-05-29,2214
ethereum,2018-05-30,1396
ethereum,2018-05-31,747
ethereum,2018-06-01,1000
ethereum,2018-06-02,827
ethereum,2018-06-03,1574
ethereum,2018-06-04,1725
ethereum,2018-06-05,442
ethereum,2018-06-06,799
ethereum,2018-06-07,834
ethereum,2018-06-08,1299
ethereum,2018-06-09,454
ethereum,2018-06-10,12391
ethereum,2018-06-11,13111
ethereum,2018-06-12,14662
ethereum,2018-06-13,19923
ethereum,2018-06-14,6357
ethereum,2018-06-15,2106
ethereum,2018-06-16,8345
ethereum,2018-06-17,984
ethereum,2018-06-18,5377
ethereum,2018-06-19,6947
ethereum,2018-06-20,4870
ethereum,2018-06-21,10935
ethereum,2018-06-22,2236
ethereum,2018-06-23,5776
ethereum,2018-06-24,5476
ethereum,2018-06-25,2188
ethereum,2018-06-26,3751
ethereum,2018-06-27,2400
ethereum,2018-06-28,2449
ethereum,2018-06-29,3547
ethereum,2018-06-30,1000
ethereum,2018-07-01,770
ethereum,2018-07-02,407
ethereum,2018-07-03,399
ethereum,2018-07-04,491
ethereum,2018-07-05,1297
ethereum,2018-07-06,618
ethereum,2018-07-07,593
ethereum,2018-07-08,808
ethereum,2018-07-09,1062
ethereum,2018-07-10,2629
